year,match_id,match_name,match_date,team_name,player_id,minute_label,minute_stoppage,match_period,own_goal,penalty
1930,M-1930-01,France v Mexico,1930-07-13,France,P-09831,19,0,1,0,0
1930,M-1930-01,France v Mexico,1930-07-13,France,P-05670,40,0,1,0,0
1930,M-1930-01,France v Mexico,1930-07-13,France,P-07295,43,0,1,0,0
1930,M-1930-01,France v Mexico,1930-07-13,France,P-07295,87,0,2,0,0
1930,M-1930-01,France v Mexico,1930-07-13,Mexico,P-03952,70,0,2,0,0
1930,M-1930-02,United States v Belgium,1930-07-13,United States,P-09215,69,0,2,0,0
1930,M-1930-03,Yugoslavia v Brazil,1930-07-14,Yugoslavia,P-00319,21,0,1,0,0
1930,M-1930-03,Yugoslavia v Brazil,1930-07-14,Yugoslavia,P-06435,30,0,1,0,0
1930,M-1930-03,Yugoslavia v Brazil,1930-07-14,Brazil,P-03855,62,0,2,0,0
1930,M-1930-04,Romania v Peru,1930-07-14,Romania,P-00978,1,0,1,0,0
1930,M-1930-04,Romania v Peru,1930-07-14,Romania,P-04102,79,0,2,0,0
1930,M-1930-04,Romania v Peru,1930-07-14,Romania,P-02034,89,0,2,0,0
1930,M-1930-04,Romania v Peru,1930-07-14,Peru,P-00521,75,0,2,0,0
1930,M-1930-05,Argentina v France,1930-07-15,Argentina,P-03789,81,0,2,0,0
1930,M-1930-06,Chile v Mexico,1930-07-16,Chile,P-04216,3,0,1,0,0
1930,M-1930-06,Chile v Mexico,1930-07-16,Chile,P-04216,65,0,2,0,0
1930,M-1930-06,Chile v Mexico,1930-07-16,Chile,P-04652,52,0,2,1,0
1930,M-1930-07,Yugoslavia v Bolivia,1930-07-17,Yugoslavia,P-06435,60,0,2,0,0
1930,M-1930-07,Yugoslavia v Bolivia,1930-07-17,Yugoslavia,P-06435,67,0,2,0,0
1930,M-1930-07,Yugoslavia v Bolivia,1930-07-17,Yugoslavia,P-00296,65,0,2,0,0
1930,M-1930-07,Yugoslavia v Bolivia,1930-07-17,Yugoslavia,P-03989,85,0,2,0,0
1930,M-1930-08,United States v Paraguay,1930-07-17,United States,P-09215,10,0,1,0,0
1930,M-1930-08,United States v Paraguay,1930-07-17,United States,P-09215,15,0,1,0,0
1930,M-1930-08,United States v Paraguay,1930-07-17,United States,P-09215,50,0,2,0,0
1930,M-1930-09,Uruguay v Peru,1930-07-18,Uruguay,P-00826,65,0,2,0,0
1930,M-1930-10,Chile v France,1930-07-19,Chile,P-04702,67,0,2,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-04418,8,0,1,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-04418,17,0,1,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-04418,80,0,2,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-00455,12,0,1,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-00455,55,0,2,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Argentina,P-00290,53,0,2,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Mexico,P-04652,42,0,1,0,1
1930,M-1930-11,Argentina v Mexico,1930-07-19,Mexico,P-04652,65,0,2,0,0
1930,M-1930-11,Argentina v Mexico,1930-07-19,Mexico,P-04746,75,0,2,0,0
1930,M-1930-12,Brazil v Bolivia,1930-07-20,Brazil,P-04578,37,0,1,0,0
1930,M-1930-12,Brazil v Bolivia,1930-07-20,Brazil,P-04578,73,0,2,0,0
1930,M-1930-12,Brazil v Bolivia,1930-07-20,Brazil,P-03855,57,0,2,0,0
1930,M-1930-12,Brazil v Bolivia,1930-07-20,Brazil,P-03855,83,0,2,0,0
1930,M-1930-13,Paraguay v Belgium,1930-07-20,Paraguay,P-06978,40,0,1,0,0
1930,M-1930-14,Uruguay v Romania,1930-07-21,Uruguay,P-00275,7,0,1,0,0
1930,M-1930-14,Uruguay v Romania,1930-07-21,Uruguay,P-08997,31,0,1,0,0
1930,M-1930-14,Uruguay v Romania,1930-07-21,Uruguay,P-00724,35,0,1,0,0
1930,M-1930-15,Argentina v Chile,1930-07-22,Argentina,P-04418,12,0,1,0,0
1930,M-1930-15,Argentina v Chile,1930-07-22,Argentina,P-04418,13,0,1,0,0
1930,M-1930-15,Argentina v Chile,1930-07-22,Argentina,P-06416,51,0,2,0,0
1930,M-1930-15,Argentina v Chile,1930-07-22,Chile,P-04702,15,0,1,0,0
1930,M-1930-16,Argentina v United States,1930-07-26,Argentina,P-03789,20,0,1,0,0
